,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2016-5,0.8074105866220104,0.5131460117171839,0.4219991438558282,-2883.308840862046,2.0559185514258647,1.0927592310529022,0.4050692196787397,197656303.44118696,7812174.9876756575,0.4458664086781032,5.708094936471184,1.6652991765391814,1018.0203611282458,994.9932544284744,18.64219827361514,14.61663103237446,78.58558182531795,1.6776790381796267,243.583,118.75177251511856,158733318.04600567,6753456.584902841,20.03363836616458,127808588.1627726
2016-6,0.8073621350530545,0.5150948759763878,0.4276360353070148,-2975.6400740144,2.0383289573688583,1.1886381346457082,0.4092639692637682,197730871.2214619,7810480.030911164,0.4613892521739088,5.685407670057333,1.83745503109594,1018.445312695767,1041.2742425772783,18.03309366489532,13.798334540509996,77.6676293199104,1.789618586393403,243.583,118.97021913783205,158791175.11328265,6751781.801865157,20.035377793303745,127826361.05767636
2016-7,0.8073136834840987,0.5166108312170047,0.423174444733437,-3206.2407436979347,2.0315258061610644,0.9884781197469455,0.3812478068283722,197805439.0017368,7808785.074146671,0.4322012065217192,5.6627204036434815,1.9072365148805064,1017.9298539645504,1083.647567242558,18.353930961030294,14.0042123826743,77.16327093553964,1.9568209012798228,243.583,118.83701573306448,158849032.18055964,6750107.018827474,20.03711722044291,127844133.95258015
2016-8,0.8072652319151429,0.518505199800915,0.406476249562938,-3149.757781764285,2.0305724295198666,1.1468452316963866,0.3986499601282697,197880006.78201172,7807090.117382177,0.4225039481243295,5.640033137229631,1.6842185360169224,1017.3657692027696,1157.9831855370126,18.950412539156105,14.342737147773116,76.03680158757516,2.107032933288759,243.583,118.94043272328574,158906889.2478366,6748432.23578979,20.03885664758207,127861906.84748396
2016-9,0.807216780346187,0.5195525514135585,0.4024664212978491,-3439.0590351732635,2.04589542394608,1.0968349730129716,0.4218717050778418,197954574.5622867,7805395.160617684,0.418532365024963,5.61734587081578,1.8483754549471287,1016.4031892502824,1212.0037891366478,19.94019967693692,15.193970433075844,75.53194511735998,2.1667274989495104,243.583,118.74640155484728,158964746.31511357,6746757.452752106,20.040596074721236,127879679.74238774
2016-10,0.8071683287772313,0.5205515054351258,0.405117178149495,-3965.9673132275466,2.0672746138908056,1.0609160061600742,0.4224506608091278,198029142.34256163,7803700.203853191,0.4160254193180028,5.594658604401928,1.7656415910309609,1015.2070160852592,1257.4052595991889,21.264654401647416,16.499360174000508,75.51592187490654,2.183901532028442,243.583,118.50547535202872,159022603.38239056,6745082.669714422,20.042335501860396,127897452.63729152
2016-11,0.8071198772082755,0.5215005650807315,0.3907469610472366,-2953.9693584836964,2.086506575082691,1.1479049091605034,0.3923024529656499,198103710.1228366,7802005.247088698,0.4114160891944031,5.571971337988077,1.85852678659364,1014.309119588788,1343.116218546836,22.591950942099853,17.696292906533614,75.04231275959556,2.152328153844846,243.583,118.60686785666007,159080460.4496675,6743407.886676738,20.04407492899956,127915225.53219531
2016-12,0.8070714256393197,0.5224025329623839,0.3851019690388544,-2879.5516234189686,2.094478154479812,1.0441767846983232,0.377390938464421,198178277.90311152,7800310.290324205,0.4077513114353103,5.549284071574226,1.9837304274396828,1013.9385607089616,1335.8962720526724,23.429762879847576,18.629256069203446,75.55888348002243,2.081071045055879,232.03099999999995,118.6322549923452,159138317.5169445,6741733.103639055,20.04581435613872,127932998.42709912
2017-1,0.8070229740703638,0.5230563589651013,0.3803888051781477,-5075.622232112225,2.0938758344390687,0.7621157752691586,0.3569248836113066,198252845.68338645,7798615.333559711,0.4075350767989002,5.526596805160374,1.8943614949386196,1014.2803041226696,1313.930197853151,23.64418780745232,18.868506423775692,75.67748476173406,2.0207391706901223,220.479,118.80495687554904,159196174.58422148,6740058.320601371,20.04755378327788,127950771.32200287
2017-2,0.8069473905405938,0.5236569054588127,0.3762996326553245,-4201.060854040392,2.101650850838241,0.8016855852337811,0.3681934792243305,198326864.97537887,7796393.517478655,0.3978047684696698,5.517503854064515,1.819288875065235,1014.8965342109634,1228.881722763799,23.1941441926134,18.63551771598628,76.59572646446057,1.9405658226033888,211.861,119.1200023029748,159193570.69506532,6741063.524156306,20.047949493277866,127951108.77333628
2017-3,0.8068718070108238,0.5244112742988298,0.3800045315218657,-4604.7344280517855,2.113289173700002,0.8150651151170567,0.3837494708257729,198400884.26737133,7794171.701397599,0.3875997638487952,5.508410902968656,1.7512303088584111,1015.9181263225212,1110.5489261219143,22.1243838179702,17.753322223912622,77.3781160640218,1.8775405349203689,258.76,119.24805207136782,159190966.8059092,6742068.727711242,20.04834520327784,127951446.22466968
2017-4,0.806796223481054,0.525126897317693,0.3821056011581457,-5041.93583143556,2.127631534792117,0.7925222034658698,0.4054428465788985,198474903.55936372,7791949.885316542,0.3886971443037969,5.499317951872796,1.5134371667941644,1017.6144678771464,1070.9732927401526,21.007745564890943,16.785302872742044,77.95348262364075,1.8186356386951723,211.393,119.38170151925976,159188362.91675302,6743073.9312661765,20.048740913277825,127951783.67600304
2017-5,0.806720639951284,0.5258073821832692,0.3779774472025649,-4656.590400431132,2.144624778414481,0.6561728681094356,0.435891393897483,198548922.8513562,7789728.069235486,0.3866356488127153,5.490225000776936,1.4950385693937374,1018.4262448548726,1040.9538099361748,20.189311803664825,16.01345825382838,78.03752814513177,1.8420832140015777,249.531,119.59585955231567,159185759.0275969,6744079.134821111,20.0491366232778,127952121.12733644
