,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2017-2,242770453.32435802,10974798.329811,18.02163718869614,192622799.16917172
2017-3,242730914.43203264,10975171.571611814,18.02072413085306,192605023.0994928
2017-4,242691375.5397073,10975544.813412629,18.019811073009983,192587247.02981383
2017-5,242651836.64738193,10975918.055213446,18.018898015166908,192569470.9601349
2017-6,242612297.75505656,10976291.297014263,18.017984957323833,192551694.89045593
2017-7,242572758.86273122,10976664.538815077,18.017071899480754,192533918.820777
2017-8,242533219.97040585,10977037.780615892,18.016158841637676,192516142.75109804
2017-9,242493681.07808048,10977411.022416709,18.0152457837946,192498366.68141907
2017-10,242454142.1857551,10977784.264217526,18.014332725951526,192480590.61174014
2017-11,242414603.29342973,10978157.50601834,18.013419668108448,192462814.54206118
2017-12,242375064.4011044,10978530.747819155,18.01250661026537,192445038.47238225
2018-1,242335525.50877902,10978903.989619972,18.011593552422294,192427262.4027033
2018-2,242209109.95957664,10980363.81668506,18.009477156833768,192398392.171583
2018-3,242082694.41037425,10981823.643750146,18.007360761245238,192369521.94046268
2018-4,241956278.86117187,10983283.470815234,18.00524436565671,192340651.7093424
2018-5,241829863.3119695,10984743.297880322,18.003127970068185,192311781.47822207
2018-6,241703447.7627671,10986203.124945408,18.00101157447966,192282911.24710178
2018-7,241577032.21356472,10987662.952010496,17.998895178891132,192254041.0159815
2018-8,241450616.66436234,10989122.779075583,17.996778783302602,192225170.78486118
2018-9,241324201.11515996,10990582.60614067,17.994662387714076,192196300.5537409
2018-10,241197785.56595758,10992042.433205757,17.99254599212555,192167430.32262057
2018-11,241071370.0167552,10993502.260270845,17.99042959653702,192138560.09150028
2018-12,240944954.4675528,10994962.087335931,17.988313200948493,192109689.86037996
2019-1,240818538.91835043,10996421.914401019,17.986196805359967,192080819.62925968
2019-2,240573011.1868174,10998398.676064061,17.982681752549468,192027925.67197204
2019-3,240327483.4552844,11000375.437727103,17.979166699738972,191975031.7146844
2019-4,240081955.72375137,11002352.199390145,17.975651646928473,191922137.75739676
2019-5,239836427.99221832,11004328.961053187,17.972136594117973,191869243.80010912
2019-6,239590900.2606853,11006305.722716229,17.968621541307478,191816349.84282148
2019-7,239345372.52915227,11008282.48437927,17.96510648849698,191763455.8855338
2019-8,239099844.79761925,11010259.246042311,17.96159143568648,191710561.92824617
2019-9,238854317.06608623,11012236.007705353,17.958076382875984,191657667.97095853
2019-10,238608789.33455318,11014212.769368395,17.954561330065484,191604774.0136709
2019-11,238363261.60302016,11016189.531031437,17.951046277254985,191551880.05638325
2019-12,238117733.87148714,11018166.29269448,17.94753122444449,191498986.0990956
2020-1,237872206.13995412,11020143.054357521,17.94401617163399,191446092.14180797
2020-2,237497490.0482776,11019337.947067887,17.941148864041086,191387947.12188435
2020-3,237122773.95660108,11018532.839778252,17.938281556448178,191329802.10196072
2020-4,236748057.86492455,11017727.732488617,17.935414248855274,191271657.0820371
2020-5,236373341.77324805,11016922.625198983,17.932546941262366,191213512.06211346
2020-6,235998625.6815715,11016117.517909348,17.929679633669462,191155367.04218984
2020-7,235623909.589895,11015312.410619713,17.926812326076558,191097222.0222662
2020-8,235249193.49821848,11014507.303330079,17.92394501848365,191039077.0023426
2020-9,234874477.40654194,11013702.196040444,17.921077710890746,190980931.98241898
2020-10,234499761.31486544,11012897.08875081,17.918210403297838,190922786.96249536
