,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2015-5,19774290.501184605,1241845.9720370804,10.734607535545598,23324787.996749967
2015-6,19789003.60411343,1242472.9456588244,10.7360721754737,23343922.46884753
2015-7,19803716.707042255,1243099.9192805686,10.7375368154018,23363056.9409451
2015-8,19818429.80997108,1243726.8929023126,10.739001455329902,23382191.41304267
2015-9,19833142.912899904,1244353.8665240565,10.740466095258004,23401325.885140233
2015-10,19847856.01582873,1244980.8401458005,10.741930735186106,23420460.3572378
2015-11,19862569.118757553,1245607.8137675445,10.743395375114208,23439594.82933537
2015-12,19877282.221686378,1246234.7873892887,10.744860015042308,23458729.301432934
2016-1,19891995.324615203,1246861.7610110326,10.74632465497041,23477863.773530502
2016-2,19899492.109345797,1248142.5593864387,10.74783419758744,23497776.54917214
2016-3,19906988.894076392,1249423.3577618448,10.749343740204473,23517689.32481378
2016-4,19914485.678806983,1250704.1561372508,10.750853282821504,23537602.10045542
2016-5,19921982.463537578,1251984.954512657,10.752362825438537,23557514.876097057
2016-6,19929479.248268172,1253265.752888063,10.753872368055568,23577427.651738696
2016-7,19936976.032998763,1254546.5512634688,10.7553819106726,23597340.42738033
2016-8,19944472.817729358,1255827.3496388749,10.756891453289631,23617253.20302197
2016-9,19951969.602459952,1257108.148014281,10.758400995906662,23637165.97866361
2016-10,19959466.387190547,1258388.946389687,10.759910538523695,23657078.754305247
2016-11,19966963.17192114,1259669.744765093,10.761420081140725,23676991.529946886
2016-12,19974459.956651732,1260950.5431404992,10.762929623757758,23696904.305588525
2017-1,19981956.741382327,1262231.3415159052,10.764439166374789,23716817.081230164
2017-2,19980874.897925325,1263208.3576386338,10.764629565438035,23735554.022723038
2017-3,19979793.05446832,1264185.3737613622,10.764819964501282,23754290.964215912
2017-4,19978711.211011313,1265162.3898840907,10.765010363564528,23773027.90570879
2017-5,19977629.36755431,1266139.4060068193,10.765200762627776,23791764.847201664
2017-6,19976547.52409731,1267116.4221295477,10.765391161691023,23810501.78869454
2017-7,19975465.680640303,1268093.4382522763,10.765581560754269,23829238.730187412
2017-8,19974383.837183297,1269070.4543750049,10.765771959817515,23847975.671680287
2017-9,19973301.993726294,1270047.4704977332,10.765962358880762,23866712.61317316
2017-10,19972220.150269292,1271024.4866204618,10.76615275794401,23885449.554666035
2017-11,19971138.306812286,1272001.5027431904,10.766343157007256,23904186.496158913
2017-12,19970056.46335528,1272978.5188659187,10.766533556070502,23922923.437651787
