,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2021-1,30122879.868616268,1317970.5543067702,7.792038088542186,24494238.145620998
2021-2,30058594.82444119,1318252.731916466,7.78896073825266,24481606.69143048
2021-3,29994309.780266117,1318534.9095261618,7.785883387963135,24468975.237239964
2021-4,29930024.73609104,1318817.0871358574,7.782806037673609,24456343.783049446
2021-5,29865739.691915963,1319099.2647455533,7.779728687384083,24443712.32885893
2021-6,29801454.64774089,1319381.442355249,7.776651337094558,24431080.874668412
2021-7,29737169.603565812,1319663.619964945,7.773573986805033,24418449.420477897
2021-8,29672884.559390735,1319945.7975746407,7.7704966365155075,24405817.96628738
2021-9,29608599.51521566,1320227.9751843365,7.767419286225982,24393186.51209686
2021-10,29544314.471040584,1320510.1527940324,7.764341935936456,24380555.057906345
2021-11,29480029.426865507,1320792.330403728,7.761264585646931,24367923.603715826
2021-12,29415744.382690433,1321074.5080134238,7.758187235357405,24355292.14952531
2022-1,29351459.338515356,1321356.6856231196,7.7551098850678795,24342660.695334792
